#date,checker,turbidity,ph,chlorine,temperature,conductivity
"19:00:00,",,0.02,7.2,0.41,5.4,227.0
,"도곡동(강남수도),",0.05,7.1,0.26,5.9,218.0
"19:00:00,","반포,",0.05,7.0,0.35,6.1,240.0
"19:00:00,","내곡동(연간단가),",0.05,7.2,0.31,6.2,216.0
"19:00:00,","반포동(자이A),",0.04,7.0,0.38,4.6,199.0
"19:00:00,","방배동(청두공원),",,,,,
"19:00:00,","내곡,",0.04,7.0,0.35,,219.0
"19:00:00,","우면동(품질시험소),",0.04,7.2,0.3,8.3,211.0
"19:00:00,","논현동(논현초교),",0.1,7.1,,7.1,207.0
"19:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.9,203.0
"19:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"19:00:00,","봉은,",0.05,7.1,0.41,7.2,221.0
"19:00:00,","수서,",0.02,7.0,0.34,5.7,100.0
"19:00:00,","자곡동(자곡증압),",0.04,7.1,0.38,3.9,223.0
"19:00:00,","삼성동(삼성증압),",0.04,7.2,0.34,5.4,236.0
"20:00:00,","서초,",0.04,7.1,0.37,5.8,237.0
"20:00:00,","방배,",0.05,7.2,0.38,5.5,217.0
"20:00:00,","일원,",0.05,7.1,0.41,6.9,230.0
"20:00:00,","우면산,",0.02,7.2,0.41,,228.0
"20:00:00,","도곡동(강남수도),",0.05,7.1,0.24,6.2,217.0
"20:00:00,","반포,",0.05,6.9,0.35,6.1,240.0
"20:00:00,","내곡동(연간단가),",0.05,7.2,0.31,6.3,217.0
"20:00:00,","반포동(자이A),",0.04,,0.37,4.7,199.0
"20:00:00,","방배동(청두공원),",,,,,
"20:00:00,","내곡,",0.05,7.0,0.33,8.1,
"20:00:00,","우면동(품질시험소),",0.04,7.2,0.25,8.3,211.0
"20:00:00,","논현동(논현초교),",0.1,7.0,0.21,,206.0
"20:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.8,203.0
"20:00:00,","삼성,",,7.0,0.37,5.7,100.0
"20:00:00,","봉은,",0.05,7.1,0.41,7.2,222.0
"20:00:00,","수서,",0.02,7.0,0.34,5.7,100.0
,"자곡동(자곡증압),",0.04,7.2,0.36,4.0,223.0
"20:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.3,237.0
"21:00:00,","서초,",0.04,7.1,0.37,5.7,237.0
"21:00:00,","방배,",0.05,7.2,0.39,5.4,218.0
"21:00:00,","일원,",0.04,7.1,0.44,6.9,
,"우면산,",0.02,7.2,0.41,5.5,229.0
